case_id,resource,activity,start_time,end_time
0,unified_resource,Check application form completeness,2023-02-09T08:00:00.000,2023-02-09T08:28:27.808
1,unified_resource,Check application form completeness,2023-02-09T08:30:00.000,2023-02-09T08:59:57.164
0,unified_resource,Check credit history,2023-02-09T08:28:27.808,2023-02-09T09:00:01.030
1,unified_resource,Appraise property,2023-02-09T08:59:57.164,2023-02-09T09:00:18.122
2,unified_resource,Check application form completeness,2023-02-09T09:00:00.000,2023-02-09T09:04:40.802
2,unified_resource,Check credit history,2023-02-09T09:04:40.802,2023-02-09T09:14:41.633
1,unified_resource,Check credit history,2023-02-09T08:59:57.164,2023-02-09T09:15:59.425
0,unified_resource,AML check,2023-02-09T08:28:27.808,2023-02-09T09:25:12.258
0,unified_resource,Appraise property,2023-02-09T08:28:27.808,2023-02-09T09:35:08.311
3,unified_resource,Check application form completeness,2023-02-09T09:30:00.000,2023-02-09T09:39:10.904
2,unified_resource,Appraise property,2023-02-09T09:04:40.802,2023-02-09T09:47:18.700
3,unified_resource,Check credit history,2023-02-09T09:39:10.904,2023-02-09T09:55:01.283
0,unified_resource,Assess loan risk,2023-02-09T09:35:08.311,2023-02-09T09:55:08.311
0,unified_resource,Design loan offer,2023-02-09T09:55:08.311,2023-02-09T10:01:45.244
1,unified_resource,AML check,2023-02-09T08:59:57.164,2023-02-09T10:21:13.295
0,unified_resource,Approve loan offer,2023-02-09T10:01:45.244,2023-02-09T10:21:45.244
0,unified_resource,Cancel application,2023-02-09T10:21:45.244,2023-02-09T10:26:45.244
4,unified_resource,Check application form completeness,2023-02-09T10:00:00.000,2023-02-09T10:35:22.185
5,unified_resource,Check application form completeness,2023-02-09T10:30:00.000,2023-02-09T10:36:24.140
5,unified_resource,Check credit history,2023-02-09T10:36:24.140,2023-02-09T10:38:03.030
4,unified_resource,Appraise property,2023-02-09T10:35:22.185,2023-02-09T10:39:05.270
5,unified_resource,Appraise property,2023-02-09T10:39:05.270,2023-02-09T10:40:31.540
1,unified_resource,Assess loan risk,2023-02-09T10:21:13.295,2023-02-09T10:41:13.295
1,unified_resource,Design loan offer,2023-02-09T10:41:13.295,2023-02-09T10:42:11.527
3,unified_resource,AML check,2023-02-09T10:21:13.295,2023-02-09T10:50:57.177
3,unified_resource,Appraise property,2023-02-09T09:39:10.904,2023-02-09T10:52:37.300
4,unified_resource,Check credit history,2023-02-09T10:35:22.185,2023-02-09T10:58:54.100
1,unified_resource,Approve loan offer,2023-02-09T10:42:11.527,2023-02-09T11:02:11.527
1,unified_resource,Approve application,2023-02-09T11:02:11.527,2023-02-09T11:07:11.527
