case_id,activity,enable_time,start_time,end_time,resource
0,Check application form completeness,2025-06-23 09:00:00.000000+00:00,2025-06-23 09:00:00.000000+00:00,2025-06-23 09:25:00.000000+00:00,UnifiedResource_0
0,Appraise property,2025-06-23 09:25:00.000000+00:00,2025-06-23 09:25:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,UnifiedResource_1
0,Check credit history,2025-06-23 09:25:00.000000+00:00,2025-06-23 09:25:00.000000+00:00,2025-06-23 09:51:40.000000+00:00,UnifiedResource_2
0,AML check,2025-06-23 09:25:00.000000+00:00,2025-06-23 09:25:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,UnifiedResource_3
1,Check application form completeness,2025-06-23 09:30:00.000000+00:00,2025-06-23 09:30:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,UnifiedResource_4
0,Assess loan risk,2025-06-23 09:55:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,2025-06-23 10:24:10.000000+00:00,UnifiedResource_5
1,AML check,2025-06-23 09:55:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,UnifiedResource_6
1,Appraise property,2025-06-23 09:55:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,UnifiedResource_7
1,Check credit history,2025-06-23 09:55:00.000000+00:00,2025-06-23 09:55:00.000000+00:00,2025-06-23 10:21:40.000000+00:00,UnifiedResource_8
2,Check application form completeness,2025-06-23 10:00:00.000000+00:00,2025-06-23 10:00:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,UnifiedResource_9
0,Reject application,2025-06-23 10:24:10.000000+00:00,2025-06-23 10:24:10.000000+00:00,2025-06-23 10:57:30.000000+00:00,UnifiedResource_10
1,Assess loan risk,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:54:10.000000+00:00,UnifiedResource_11
2,Appraise property,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,UnifiedResource_12
2,Check credit history,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:51:40.000000+00:00,UnifiedResource_13
2,AML check,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:25:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,UnifiedResource_14
3,Check application form completeness,2025-06-23 10:30:00.000000+00:00,2025-06-23 10:30:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,UnifiedResource_15
1,Reject application,2025-06-23 10:54:10.000000+00:00,2025-06-23 10:54:10.000000+00:00,2025-06-23 11:27:30.000000+00:00,UnifiedResource_16
2,Assess loan risk,2025-06-23 10:55:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,2025-06-23 11:24:10.000000+00:00,UnifiedResource_17
3,Check credit history,2025-06-23 10:55:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,2025-06-23 11:21:40.000000+00:00,UnifiedResource_18
3,Appraise property,2025-06-23 10:55:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,2025-06-23 11:25:00.000000+00:00,UnifiedResource_0
3,AML check,2025-06-23 10:55:00.000000+00:00,2025-06-23 10:55:00.000000+00:00,2025-06-23 11:25:00.000000+00:00,UnifiedResource_2
4,Check application form completeness,2025-06-23 11:00:00.000000+00:00,2025-06-23 11:00:00.000000+00:00,2025-06-23 11:25:00.000000+00:00,UnifiedResource_1
