algorithm,simulation_id,timestamp,target_range,status,target_ppi,target_ppi_val,arriaval_distr_mean,resource_count_UnifiedResourceProfile
grid_search,sim_0,2025-10-22T09:38:23.776013Z,"[12744.0, 15577.0]",out,cycle_time,22244078.66,300.0,2
grid_search,sim_1,2025-10-22T09:38:29.403513Z,"[12744.0, 15577.0]",out,cycle_time,14513156.97,300.0,3
grid_search,sim_2,2025-10-22T09:38:34.275348Z,"[12744.0, 15577.0]",out,cycle_time,10688380.37,300.0,4
grid_search,sim_3,2025-10-22T09:38:38.674400Z,"[12744.0, 15577.0]",out,cycle_time,8345037.04,300.0,5
grid_search,sim_4,2025-10-22T09:38:43.266121Z,"[12744.0, 15577.0]",out,cycle_time,6811640.02,300.0,6
grid_search,sim_5,2025-10-22T09:38:47.642836Z,"[12744.0, 15577.0]",out,cycle_time,5700279.36,300.0,7
grid_search,sim_6,2025-10-22T09:38:52.131911Z,"[12744.0, 15577.0]",out,cycle_time,4840472.85,300.0,8
grid_search,sim_7,2025-10-22T09:38:56.594917Z,"[12744.0, 15577.0]",out,cycle_time,4220721.12,300.0,9
grid_search,sim_8,2025-10-22T09:39:01.237680Z,"[12744.0, 15577.0]",out,cycle_time,3690545.31,300.0,10
grid_search,sim_9,2025-10-22T09:39:05.584986Z,"[12744.0, 15577.0]",out,cycle_time,3239621.58,300.0,11
grid_search,sim_10,2025-10-22T09:39:10.186072Z,"[12744.0, 15577.0]",out,cycle_time,2933597.88,300.0,12
grid_search,sim_11,2025-10-22T09:39:14.571469Z,"[12744.0, 15577.0]",out,cycle_time,2611428.14,300.0,13
grid_search,sim_12,2025-10-22T09:39:19.134689Z,"[12744.0, 15577.0]",out,cycle_time,2378039.48,300.0,14
grid_search,sim_13,2025-10-22T09:39:23.667220Z,"[12744.0, 15577.0]",out,cycle_time,2130655.72,300.0,15
grid_search,sim_14,2025-10-22T09:39:28.062998Z,"[12744.0, 15577.0]",out,cycle_time,1941599.15,300.0,16
grid_search,sim_15,2025-10-22T09:39:32.443287Z,"[12744.0, 15577.0]",out,cycle_time,1764372.37,300.0,17
grid_search,sim_16,2025-10-22T09:39:37.030328Z,"[12744.0, 15577.0]",out,cycle_time,1611393.46,300.0,18
grid_search,sim_17,2025-10-22T09:39:41.423412Z,"[12744.0, 15577.0]",out,cycle_time,1470701.78,300.0,19
grid_search,sim_18,2025-10-22T09:39:45.800904Z,"[12744.0, 15577.0]",out,cycle_time,1362487.16,300.0,20
grid_search,sim_19,2025-10-22T09:39:50.100108Z,"[12744.0, 15577.0]",out,cycle_time,1250136.59,300.0,21
grid_search,sim_20,2025-10-22T09:39:54.318893Z,"[12744.0, 15577.0]",out,cycle_time,1123734.87,300.0,22
grid_search,sim_21,2025-10-22T09:39:58.899225Z,"[12744.0, 15577.0]",out,cycle_time,1043114.28,300.0,23
grid_search,sim_22,2025-10-22T09:40:03.214363Z,"[12744.0, 15577.0]",out,cycle_time,968799.3,300.0,24
grid_search,sim_23,2025-10-22T09:40:07.396859Z,"[12744.0, 15577.0]",out,cycle_time,894624.71,300.0,25
grid_search,sim_24,2025-10-22T09:40:11.758031Z,"[12744.0, 15577.0]",out,cycle_time,816152.96,300.0,26
grid_search,sim_25,2025-10-22T09:40:15.680179Z,"[12744.0, 15577.0]",out,cycle_time,21401426.61,587.7551020408164,2
grid_search,sim_26,2025-10-22T09:40:19.720056Z,"[12744.0, 15577.0]",out,cycle_time,13636678.49,587.7551020408164,3
grid_search,sim_27,2025-10-22T09:40:24.202614Z,"[12744.0, 15577.0]",out,cycle_time,9769123.09,587.7551020408164,4
grid_search,sim_28,2025-10-22T09:40:28.242928Z,"[12744.0, 15577.0]",out,cycle_time,7484886.28,587.7551020408164,5
grid_search,sim_29,2025-10-22T09:40:32.226410Z,"[12744.0, 15577.0]",out,cycle_time,5908657.36,587.7551020408164,6
grid_search,sim_30,2025-10-22T09:40:36.278091Z,"[12744.0, 15577.0]",out,cycle_time,4806984.65,587.7551020408164,7
grid_search,sim_31,2025-10-22T09:40:40.164496Z,"[12744.0, 15577.0]",out,cycle_time,3963531.86,587.7551020408164,8
grid_search,sim_32,2025-10-22T09:40:44.022481Z,"[12744.0, 15577.0]",out,cycle_time,3324191.01,587.7551020408164,9
grid_search,sim_33,2025-10-22T09:40:48.014107Z,"[12744.0, 15577.0]",out,cycle_time,2798622.04,587.7551020408164,10
grid_search,sim_34,2025-10-22T09:40:51.818359Z,"[12744.0, 15577.0]",out,cycle_time,2366627.11,587.7551020408164,11
grid_search,sim_35,2025-10-22T09:40:55.818145Z,"[12744.0, 15577.0]",out,cycle_time,2012396.59,587.7551020408164,12
grid_search,sim_36,2025-10-22T09:40:59.518452Z,"[12744.0, 15577.0]",out,cycle_time,1703214.5,587.7551020408164,13
grid_search,sim_37,2025-10-22T09:41:03.235296Z,"[12744.0, 15577.0]",out,cycle_time,1459677.29,587.7551020408164,14
grid_search,sim_38,2025-10-22T09:41:06.945003Z,"[12744.0, 15577.0]",out,cycle_time,1220993.4,587.7551020408164,15
grid_search,sim_39,2025-10-22T09:41:10.950231Z,"[12744.0, 15577.0]",out,cycle_time,1044866.91,587.7551020408164,16
grid_search,sim_40,2025-10-22T09:41:14.787919Z,"[12744.0, 15577.0]",out,cycle_time,866303.85,587.7551020408164,17
grid_search,sim_41,2025-10-22T09:41:18.753442Z,"[12744.0, 15577.0]",out,cycle_time,702484.52,587.7551020408164,18
grid_search,sim_42,2025-10-22T09:41:22.747903Z,"[12744.0, 15577.0]",out,cycle_time,569188.64,587.7551020408164,19
grid_search,sim_43,2025-10-22T09:41:26.675716Z,"[12744.0, 15577.0]",out,cycle_time,453525.46,587.7551020408164,20
grid_search,sim_44,2025-10-22T09:41:30.666072Z,"[12744.0, 15577.0]",out,cycle_time,347611.81,587.7551020408164,21
grid_search,sim_45,2025-10-22T09:41:34.498494Z,"[12744.0, 15577.0]",out,cycle_time,241238.03,587.7551020408164,22
grid_search,sim_46,2025-10-22T09:41:38.392803Z,"[12744.0, 15577.0]",out,cycle_time,150471.64,587.7551020408164,23
grid_search,sim_47,2025-10-22T09:41:42.404152Z,"[12744.0, 15577.0]",out,cycle_time,78189.19,587.7551020408164,24
grid_search,sim_48,2025-10-22T09:41:46.651368Z,"[12744.0, 15577.0]",out,cycle_time,22986.44,587.7551020408164,25
grid_search,sim_49,2025-10-22T09:41:50.729290Z,"[12744.0, 15577.0]",out,cycle_time,18026.53,587.7551020408164,26
grid_search,sim_50,2025-10-22T09:41:54.906885Z,"[12744.0, 15577.0]",out,cycle_time,20633689.11,875.5102040816327,2
grid_search,sim_51,2025-10-22T09:41:59.175063Z,"[12744.0, 15577.0]",out,cycle_time,12864231.62,875.5102040816327,3
grid_search,sim_52,2025-10-22T09:42:03.466292Z,"[12744.0, 15577.0]",out,cycle_time,8973474.58,875.5102040816327,4
grid_search,sim_53,2025-10-22T09:42:07.523761Z,"[12744.0, 15577.0]",out,cycle_time,6569410.47,875.5102040816327,5
grid_search,sim_54,2025-10-22T09:42:11.714036Z,"[12744.0, 15577.0]",out,cycle_time,5045933.4,875.5102040816327,6
grid_search,sim_55,2025-10-22T09:42:15.626832Z,"[12744.0, 15577.0]",out,cycle_time,3924794.25,875.5102040816327,7
grid_search,sim_56,2025-10-22T09:42:19.594672Z,"[12744.0, 15577.0]",out,cycle_time,3082906.52,875.5102040816327,8
grid_search,sim_57,2025-10-22T09:42:23.356273Z,"[12744.0, 15577.0]",out,cycle_time,2422296.61,875.5102040816327,9
grid_search,sim_58,2025-10-22T09:42:27.243740Z,"[12744.0, 15577.0]",out,cycle_time,1921445.58,875.5102040816327,10
grid_search,sim_59,2025-10-22T09:42:30.999995Z,"[12744.0, 15577.0]",out,cycle_time,1461585.98,875.5102040816327,11
grid_search,sim_60,2025-10-22T09:42:34.829266Z,"[12744.0, 15577.0]",out,cycle_time,1126061.19,875.5102040816327,12
grid_search,sim_61,2025-10-22T09:42:38.582681Z,"[12744.0, 15577.0]",out,cycle_time,819280.31,875.5102040816327,13
grid_search,sim_62,2025-10-22T09:42:42.515495Z,"[12744.0, 15577.0]",out,cycle_time,585078.69,875.5102040816327,14
grid_search,sim_63,2025-10-22T09:42:46.480548Z,"[12744.0, 15577.0]",out,cycle_time,327338.39,875.5102040816327,15
grid_search,sim_64,2025-10-22T09:42:50.503916Z,"[12744.0, 15577.0]",out,cycle_time,169396.43,875.5102040816327,16
grid_search,sim_65,2025-10-22T09:42:54.547083Z,"[12744.0, 15577.0]",out,cycle_time,23461.23,875.5102040816327,17
grid_search,sim_66,2025-10-22T09:42:58.540737Z,"[12744.0, 15577.0]",out,cycle_time,17651.74,875.5102040816327,18
grid_search,sim_67,2025-10-22T09:43:02.309688Z,"[12744.0, 15577.0]",out,cycle_time,16645.8,875.5102040816327,19
grid_search,sim_68,2025-10-22T09:43:06.193691Z,"[12744.0, 15577.0]",out,cycle_time,16229.73,875.5102040816327,20
grid_search,sim_69,2025-10-22T09:43:10.043255Z,"[12744.0, 15577.0]",out,cycle_time,15896.33,875.5102040816327,21
